,categoria,subcategoria,nombre,marca,peso,precio,fecha
22,Leche ecológica,,Leche semidesnatada bio 1L Asana,Asana,1.0,"1,79",2023-06-30
23,Leche ecológica,,Leche entera bio 1L Asana,Asana,1.0,"1,79",2023-06-30
24,Leche ecológica,,Leche semidesnatada sin lactosa bio 1L Asana,Asana,1.0,"1,99",2023-06-30
25,Leche ecológica,,Leche de Cabra 750ml I Love My Goat,I Love My Goat,750.0,"4,74",2023-06-30
26,Leche ecológica,,Leche en Polvo Desnatada Bio 250g Paño,Paño Nature,250.0,"4,76",2023-06-30
27,Leche ecológica,,Bebida de Avena en Polvo 400g Avebin,Avebin,400.0,"10,99",2023-06-30
28,Leche ecológica,,Bebida de Avena 1L Bio Cesta,Bio Cesta,1.0,"1,76",2023-06-30
29,Leche ecológica,,Agua de Coco 330ml Cocomi,Cocomi,330.0,"2,02",2023-06-30
30,Leche ecológica,,Bebida de Almendras Edulcorada con Panela 1L Dietmil,Dietmil,1.0,"2,30",2023-06-30
31,Leche ecológica,,Bebida Vegetal de Soja en Polvo Instantáneo 400g Dietmil,Dietmil,400.0,"10,95",2023-06-30
32,Leche ecológica,,Leche de coco bio de Dr.Martín 1L Dr. Martins,Dr. Martins,1.0,"3,58",2023-06-30
33,Leche ecológica,,Bebida de Almendra Bio 1L Ecomil,Ecomil,1.0,"3,30",2023-06-30
34,Leche ecológica,,Bebida de Almendra Bio 200ml Ecomil,Ecomil,200.0,"1,25",2023-06-30
35,Leche ecológica,,Bebida de almendra con calcio 1L Ecomil,Ecomil,1.0,"3,35",2023-06-30
36,Leche ecológica,,Bebida de almendra con calcio en polvo 400g Ecomil,Ecomil,400.0,"15,75",2023-06-30
37,Leche ecológica,,Bebida de Almendra con calcio sin azúcar bio 1L Ecomil,Ecomil,1.0,"3,35",2023-06-30
38,Leche ecológica,,Leche de Vaca Entera Bio 1L Frisona,Frisona,1.0,"1,63",2023-06-30
39,Leche ecológica,,Leche de Vaca Semidesnatada Bio 1L Frisona,Frisona,1.0,"1,63",2023-06-30
40,Leche ecológica,,Crema de almendra para diluir 325g Bio Cesta,Bio Cesta,325.0,"12,40",2023-06-30
41,Leche ecológica,,Bebida de Almendra en Polvo 400g Dietmil,Dietmil,400.0,"13,55",2023-06-30
42,Edulcorantes naturales,Azúcares naturales,Azúcar Panela 1kg Bio Cesta,Bio Cesta,1.0,"5,24",2023-06-30
43,Edulcorantes naturales,Azúcares naturales,Azúcar de caña integral 1kg Bio Cesta,Bio Cesta,1.0,"5,53",2023-06-30
44,Edulcorantes naturales,Azúcares naturales,Azúcar de Coco Bio 400g Organic Sac,Organic Sac,400.0,"5,45",2023-06-30
45,Edulcorantes naturales,Azúcares naturales,Azúcar de caña integral 500g Bio Cesta,Bio Cesta,500.0,"3,57",2023-06-30
46,Edulcorantes naturales,Azúcares naturales,Azúcar moreno integral de caña 1kg Terra Verda,Terra Verda,1.0,"4,90",2023-06-30
47,Edulcorantes naturales,Azúcares naturales,Azúcar de caña Mascobado de Filipinas Bio 500g Alternativa3,Alternativa3,500.0,"3,74",2023-06-30
48,Edulcorantes naturales,Azúcares naturales,Azúcar de Caña Panela 100 sobres Alternativa3,Alternativa3,100.0,"4,68",2023-06-30
49,Edulcorantes naturales,Azúcares naturales,Azúcar de Flor de Palmera 400g Ethiquable,Ethiquable,400.0,"5,10",2023-06-30
50,Edulcorantes naturales,Siropes,Sirope de agave con dosificador 350g Bio Cesta,Bio Cesta,350.0,"3,49",2023-06-30
51,Edulcorantes naturales,Siropes,Sirope de agave 700g Bio Cesta,Bio Cesta,700.0,"5,99",2023-06-30
52,Edulcorantes naturales,Siropes,Sirope de arroz bio 350g Bio Cesta,Bio Cesta,350.0,"3,90",2023-06-30
53,Edulcorantes naturales,Siropes,Sirope de Savia de Arce ecológica 1L Bio Cesta,Bio Cesta,1.0,"32,95",2023-06-30
54,Edulcorantes naturales,Siropes,Concentrado de manzana líquido eco 500ml Cal Valls,Cal Valls,500.0,"6,80",2023-06-30
55,Edulcorantes naturales,Siropes,Sirope de arroz 900g La Finestra Sul Cielo,La Finestra Sul Cielo,900.0,"7,45",2023-06-30
56,Edulcorantes naturales,Siropes,Sirope de Arroz 400g La Finestra Sul Cielo,La Finestra Sul Cielo,400.0,"3,95",2023-06-30
57,Edulcorantes naturales,Siropes,Sirope de arce puro grado C 250ml Terrasana,Terrasana,250.0,"10,69",2023-06-30
58,Edulcorantes naturales,Siropes,Sirope de Arce 375ml Vegetalia,Vegetalia,375.0,"9,80",2023-06-30
59,Edulcorantes naturales,Siropes,Sirope de dátil bio 250g Natursoy,Natursoy,250.0,"5,82",2023-06-30
60,Edulcorantes naturales,Siropes,Sirope de savia arce 1L Terra Verda,Terra Verda,1.0,"27,95",2023-06-30
61,Edulcorantes naturales,Siropes,Malta de cebada 900g La Finestra Sul Cielo,La Finestra Sul Cielo,900.0,"8,35",2023-06-30
62,Edulcorantes naturales,Siropes,Sirope de Yacón 345g Saludviva,SaludViva,345.0,"17,80",2023-06-30
63,Edulcorantes naturales,Siropes,Sirope de Algarroba 320g Ibiza Carob Company,Ibiza Carob Company,320.0,"6,89",2023-06-30
64,Edulcorantes naturales,Eritritol y sucralosa,Xilitol 500g Terra Verda,Terra Verda,500.0,"11,15",2023-06-30
65,Edulcorantes naturales,Eritritol y sucralosa,Eritritol Bio 500g Naturgreen,Naturgreen,500.0,"10,50",2023-06-30
66,Edulcorantes naturales,Eritritol y sucralosa,Eritritol bio 1kg Aldous Bio,Aldous Bio,1.0,"19,63",2023-06-30
67,Edulcorantes naturales,Eritritol y sucralosa,Sucralin en polvo 190g Sucralín,Sucralín,190.0,"10,20",2023-06-30
68,Edulcorantes naturales,Eritritol y sucralosa,Sucralín Líquido 84ml Sucralín,Sucralín,84.0,"5,20",2023-06-30
69,Edulcorantes naturales,Eritritol y sucralosa,Sucralin en sobres 50uds Sucralín,Sucralín,50.0,"3,80",2023-06-30
70,Edulcorantes naturales,Eritritol y sucralosa,Sucralin en polvo 300g Sucralín,Sucralín,300.0,"10,70",2023-06-30
71,Edulcorantes naturales,Eritritol y sucralosa,Sucralín 150 comprimidos Sucralín,Sucralín,150.0,"6,35",2023-06-30
72,Edulcorantes naturales,Estevia,Stevia 90ml Santiveri,Santiveri,90.0,"4,95",2023-06-30
73,Edulcorantes naturales,Estevia,Stevia en polvo en sobres 70g Santiveri,Santiveri,70.0,"4,70",2023-06-30
74,Edulcorantes naturales,Estevia,Stevia gotas 30ml Soria Natural,Soria Natural,30.0,"4,65",2023-06-30
75,Edulcorantes naturales,Estevia,Stevia Líquida 100ml Stesweet,Stesweet,100.0,"16,79",2023-06-30
76,Edulcorantes naturales,Estevia,Stevia 300 comprimidos Vegetalia,Vegetalia,300.0,"9,30",2023-06-30
77,Edulcorantes naturales,Estevia,Estevia molida bio 65g Artemis,Artemis,65.0,"4,20",2023-06-30
78,Edulcorantes naturales,Estevia,Extracto de Stevia tabletas 250 comprimidos Stesweet,Stesweet,250.0,"10,59",2023-06-30
79,Edulcorantes naturales,Estevia,Stevia Cristalizada 300g Terra Verda,Terra Verda,300.0,"4,35",2023-06-30
80,Edulcorantes naturales,Estevia,Extracto Stevia líquida 50ml Stesweet,Stesweet,50.0,"10,09",2023-06-30
81,Edulcorantes naturales,Estevia,Stevia En Polvo Sticks 1g 50uds Stesweet,Stesweet,50.0,"10,39",2023-06-30
82,Edulcorantes naturales,Estevia,Azúcar de Abedul y Stevia 500g Sucrafor,Sucrafor,500.0,"9,99",2023-06-30
83,Edulcorantes naturales,Mieles ecológicas,Miel de Romero 1kg Codonyer & March,Codonyer & March,1.0,"11,99",2023-06-30
84,Edulcorantes naturales,Mieles ecológicas,Miel de Castaño Cruda 500g Codonyer & March,Codonyer & March,500.0,"8,15",2023-06-30
85,Edulcorantes naturales,Mieles ecológicas,Miel de Eucalipto Cruda 500g Codonyer & March,Codonyer & March,500.0,"7,69",2023-06-30
86,Edulcorantes naturales,Mieles ecológicas,Miel de Brezo 1kg Codonyer & March,Codonyer & March,1.0,"11,99",2023-06-30
87,Edulcorantes naturales,Mieles ecológicas,Miel de Brezo 500g Codonyer & March,Codonyer & March,500.0,"7,49",2023-06-30
88,Edulcorantes naturales,Mieles ecológicas,Miel de Tomillo Cruda 1kg Codonyer & March,Codonyer & March,1.0,"13,35",2023-06-30
89,Edulcorantes naturales,Mieles ecológicas,Miel de Eucalipto Cruda 1kg Codonyer & March,Codonyer & March,1.0,"13,99",2023-06-30
90,Edulcorantes naturales,Mieles ecológicas,Miel de Azahar 500g Codonyer & March,Codonyer & March,500.0,"7,15",2023-06-30
91,Edulcorantes naturales,Mieles ecológicas,Miel de Tomillo Cruda 500g Codonyer & March,Codonyer & March,500.0,"8,39",2023-06-30
92,Edulcorantes naturales,Mieles ecológicas,Miel con propóleo 500g Codonyer & March,Codonyer & March,500.0,"8,25",2023-06-30
93,Edulcorantes naturales,Mieles ecológicas,Miel de azahar 500g Herbolario Navarro,Herbolario Navarro,500.0,"6,77",2023-06-30
94,Edulcorantes naturales,Mieles ecológicas,Miel de brezo 500g Herbolario Navarro,Herbolario Navarro,500.0,"6,87",2023-06-30
95,Edulcorantes naturales,Mieles ecológicas,Miel de milflores 500g Herbolario Navarro,Herbolario Navarro,500.0,"5,25",2023-06-30
96,Edulcorantes naturales,Mieles ecológicas,Miel de romero 500g Herbolario Navarro,Herbolario Navarro,500.0,"7,17",2023-06-30
97,Edulcorantes naturales,Mieles ecológicas,Miel de Romero Cruda 500g Codonyer & March,Codonyer & March,500.0,"8,55",2023-06-30
98,Edulcorantes naturales,Mieles ecológicas,Miel de eucalipto 500g Herbolario Navarro,Herbolario Navarro,500.0,"6,87",2023-06-30
99,Edulcorantes naturales,Mieles ecológicas,Miel con Jalea Real 500g Herbolario Navarro,Herbolario Navarro,500.0,"9,95",2023-06-30
100,Edulcorantes naturales,Mieles ecológicas,Miel de azahar 1kg Herbolario Navarro,Herbolario Navarro,1.0,"11,54",2023-06-30
101,Edulcorantes naturales,Mieles ecológicas,Miel de milflores 1kg Herbolario Navarro,Herbolario Navarro,1.0,"9,43",2023-06-30
102,Edulcorantes naturales,Mieles ecológicas,Miel de brezo 1kg Herbolario Navarro,Herbolario Navarro,1.0,"12,44",2023-06-30
103,Cereales y legumbres,Arroces,Arroz Integral Redondo 1kg Biográ,Biográ,1.0,"6,12",2023-06-30
104,Cereales y legumbres,Arroces,Mezcla de arroces salvajes bio 400g Bio Cesta,Bio Cesta,400.0,"3,18",2023-06-30
105,Cereales y legumbres,Arroces,Arroz integral largo Bio 1kg Bio Cesta,Bio Cesta,1.0,"3,36",2023-06-30
106,Cereales y legumbres,Arroces,Arroz Rojo Bio 500g Bio Cesta,Bio Cesta,500.0,"3,77",2023-06-30
107,Cereales y legumbres,Arroces,Arroz Integral Redondo 500g Biográ,Biográ,500.0,"3,04",2023-06-30
108,Cereales y legumbres,Arroces,Sémola de arroz integral 500g Eco Salim,Eco Salim,500.0,"3,20",2023-06-30
109,Cereales y legumbres,Arroces,Arroz Basmati Integral 500g Bio Cesta,Bio Cesta,500.0,"3,56",2023-06-30
110,Cereales y legumbres,Arroces,Arroz basmati blanco Bio 500g Bio Cesta,Bio Cesta,500.0,"3,75",2023-06-30
111,Cereales y legumbres,Arroces,Arroz redondo blanco 1kg Bio Cesta,Bio Cesta,1.0,"4,51",2023-06-30
112,Cereales y legumbres,Arroces,Vasito de arroz integral y quinoa roja 250g Vegetalia,Vegetalia,250.0,"2,99",2023-06-30
113,Cereales y legumbres,Arroces,Risotto de verduras 250g Organic Sac,Organic Sac,250.0,"3,45",2023-06-30
114,Cereales y legumbres,Arroces,Arroz Redondo Blanco 1kg Calasparra,Calasparra,1.0,"4,76",2023-06-30
115,Cereales y legumbres,Arroces,Arroz redondo integral de Calasparrra Bio 1kg Calasparra,Calasparra,1.0,"4,18",2023-06-30
116,Cereales y legumbres,Arroces,Arroz Semi Integral 1kg Calasparra,Calasparra,1.0,"4,70",2023-06-30
117,Cereales y legumbres,Arroces,Arroz Jazmín integral Bio 500g Bio Cesta,Bio Cesta,500.0,"2,61",2023-06-30
118,Cereales y legumbres,Arroces,Arroz Redondo Integral 1kg Bio Cesta,Bio Cesta,1.0,"3,74",2023-06-30
119,Cereales y legumbres,Arroces,Arroz redondo semi integral 1kg Bio Cesta,Bio Cesta,1.0,"3,99",2023-06-30
120,Cereales y legumbres,Arroces,"Arroz Redondo Integral 2,5kg Bio Cesta",Bio Cesta,2.5,"8,92",2023-06-30
121,Cereales y legumbres,Arroces,Risotto de setas 250g Organic Sac,Organic Sac,250.0,"3,99",2023-06-30
122,Cereales y legumbres,Arroces,Arroz Nerone 250g Biográ,Biográ,250.0,"2,54",2023-06-30
123,Cereales y legumbres,Legumbres,Lentejas Du Puy ecológicas 500g Bio Cesta,Bio Cesta,500.0,"4,40",2023-06-30
124,Cereales y legumbres,Legumbres,Lentejas verdes ecológicas 500g Bio Cesta,Bio Cesta,500.0,"2,85",2023-06-30
125,Cereales y legumbres,Legumbres,Judías Azuki bio 500g Bio Cesta,Bio Cesta,500.0,"4,07",2023-06-30
126,Cereales y legumbres,Legumbres,Garbanzos bio 500g Bio Cesta,Bio Cesta,500.0,"2,25",2023-06-30
127,Cereales y legumbres,Legumbres,Lentejas marrones bio 500g Bio Cesta,Bio Cesta,500.0,"2,80",2023-06-30
128,Cereales y legumbres,Legumbres,Lentejas rojas bio 500g Bio Cesta,Bio Cesta,500.0,"2,31",2023-06-30
129,Cereales y legumbres,Legumbres,Alubia Blanca 500g Bio Cesta,Bio Cesta,500.0,"2,19",2023-06-30
130,Cereales y legumbres,Legumbres,Alubia Roja 500g Bio Cesta,Bio Cesta,500.0,"3,32",2023-06-30
131,Cereales y legumbres,Legumbres,"Lentejas rojas bio 2,5kg Bio Cesta",Bio Cesta,2.5,"9,89",2023-06-30
132,Cereales y legumbres,Legumbres,Proteína de Guisante Bio 250g Naturgreen,Naturgreen,250.0,"8,70",2023-06-30
133,Cereales y legumbres,Legumbres,Soja verde bio 500g El Granero Integral,El Granero Integral,500.0,"4,32",2023-06-30
134,Cereales y legumbres,Avena,Avena en grano ecológica 500g Bio Cesta,Bio Cesta,500.0,"2,41",2023-06-30
135,Cereales y legumbres,Avena,Salvado de avena bio 500g Bio Cesta,Bio Cesta,500.0,"3,12",2023-06-30
136,Cereales y legumbres,Avena,Salvado de avena sin gluten 300g Sol Natural,Sol Natural,300.0,"3,15",2023-06-30
137,Cereales y legumbres,Avena,Avena en Polvo sabor Chocolate 500g Natruly,Natruly,500.0,"9,95",2023-06-30
138,Cereales y legumbres,Avena,Copos de avena integral finos 500g Biocop,Biocop,500.0,"2,29",2023-06-30
139,Cereales y legumbres,Avena,Copos gruesos de avena integral 500g Biocop,Biocop,500.0,"2,29",2023-06-30
140,Cereales y legumbres,Avena,Arroz Integral Redondo 1kg Biográ,Biográ,1.0,"6,12",2023-06-30
141,Cereales y legumbres,Avena,Harina de Arroz Integral 500g Biográ,Biográ,500.0,"3,10",2023-06-30
142,Cereales y legumbres,Avena,Mezcla de arroces salvajes bio 400g Bio Cesta,Bio Cesta,400.0,"3,18",2023-06-30
143,Cereales y legumbres,Avena,Arroz integral largo Bio 1kg Bio Cesta,Bio Cesta,1.0,"3,36",2023-06-30
144,Cereales y legumbres,Avena,Arroz Rojo Bio 500g Bio Cesta,Bio Cesta,500.0,"3,77",2023-06-30
145,Cereales y legumbres,Avena,Arroz hinchado Bio 175g Bio Cesta,Bio Cesta,175.0,"3,25",2023-06-30
146,Cereales y legumbres,Avena,Harina de algarroba ecológica Bio 375g Bio Cesta,Bio Cesta,375.0,"2,90",2023-06-30
147,Cereales y legumbres,Avena,Arroz Integral Redondo 500g Biográ,Biográ,500.0,"3,04",2023-06-30
148,Cereales y legumbres,Avena,Sémola de arroz integral 500g Eco Salim,Eco Salim,500.0,"3,20",2023-06-30
149,Cereales y legumbres,Avena,Arroz Basmati Integral 500g Bio Cesta,Bio Cesta,500.0,"3,56",2023-06-30
150,Cereales y legumbres,Avena,Lentejas marrones bio 500g Bio Cesta,Bio Cesta,500.0,"2,80",2023-06-30
151,Cereales y legumbres,Avena,Copos de Avena Gruesos Integrales 500g Bio Cesta,Bio Cesta,500.0,"2,59",2023-06-30
152,Cereales y legumbres,Avena,Arroz Jazmín integral Bio 500g Bio Cesta,Bio Cesta,500.0,"2,61",2023-06-30
153,Cereales y legumbres,Avena,Arroz Redondo Integral 1kg Bio Cesta,Bio Cesta,1.0,"3,74",2023-06-30
154,Cereales y legumbres,Quinoa,Quinoa real en grano 500g Quinua Real,Quinua Real,500.0,"3,84",2023-06-30
155,Cereales y legumbres,Quinoa,Quinoa real de grano negro 500g Quinua Real,Quinua Real,500.0,"7,64",2023-06-30
156,Cereales y legumbres,Quinoa,Quinoa hinchada 125g Bio Cesta,Bio Cesta,125.0,"3,99",2023-06-30
157,Cereales y legumbres,Quinoa,Quinoa de 3 colores 500g Quinua Real,Quinua Real,500.0,"4,76",2023-06-30
158,Cereales y legumbres,Quinoa,Quinoa roja 500g Quinua Real,Quinua Real,500.0,"5,05",2023-06-30
159,Cereales y legumbres,Quinoa,Vasito de quinoa blanca y roja bio 250g Danival,Vegetalia,250.0,"2,85",2023-06-30
160,Cereales y legumbres,Quinoa,Quinoa tricolor bio 500g Bio Cesta,Bio Cesta,500.0,"3,84",2023-06-30
161,Cereales y legumbres,Quinoa,Quinoa 250g Biográ,Biográ,250.0,"2,67",2023-06-30
162,Cereales y legumbres,Quinoa,Vasito de arroz integral y quinoa roja 250g Vegetalia,Vegetalia,250.0,"2,99",2023-06-30
163,Cereales y legumbres,Trigo,Copos de trigo sarraceno 450g El Granero Integral,El Granero Integral,450.0,"4,99",2023-06-30
164,Cereales y legumbres,Trigo,Trigo Sarraceno en Grano 500g Bio Cesta,Bio Cesta,500.0,"3,25",2023-06-30
165,Cereales y legumbres,Trigo,Trigo sarraceno hinchado 100g Bio Cesta,Bio Cesta,100.0,"3,08",2023-06-30
166,Cereales y legumbres,Trigo,Harina de trigo sarraceno sin gluten 500g Organic Sac,Organic Sac,500.0,"4,14",2023-06-30
167,Cereales y legumbres,Trigo,Copos de Trigo Sarraceno 350g Celnat,Celnat,350.0,"3,88",2023-06-30
168,Cereales y legumbres,Trigo,Copos de trigo sarraceno 500g Bio Cesta,Bio Cesta,500.0,"5,05",2023-06-30
169,Cereales y legumbres,Mueslis y cereales de desayuno,Copos de trigo sarraceno 450g El Granero Integral,El Granero Integral,450.0,"4,99",2023-06-30
170,Cereales y legumbres,Mueslis y cereales de desayuno,Muesli malteado 400g El Granero Integral,El Granero Integral,400.0,"5,09",2023-06-30
171,Cereales y legumbres,Mueslis y cereales de desayuno,Copos de 5 Cereales 500g El Granero Integral,El Granero Integral,500.0,"2,89",2023-06-30
172,Cereales y legumbres,Mueslis y cereales de desayuno,Desayuno de avena con chocolate 220g Biográ,Biográ,220.0,"3,69",2023-06-30
173,Cereales y legumbres,Mueslis y cereales de desayuno,Trigo hinchado con miel bio 150g Bio Cesta,Bio Cesta,150.0,"2,92",2023-06-30
174,Cereales y legumbres,Mueslis y cereales de desayuno,Espelta hinchada con miel bio 150g Bio Cesta,Bio Cesta,150.0,"3,11",2023-06-30
175,Cereales y legumbres,Mueslis y cereales de desayuno,Copos con 4 Cereales Bio 500g Bio Cesta,Bio Cesta,500.0,"3,05",2023-06-30
176,Cereales y legumbres,Mueslis y cereales de desayuno,Cereales corn flakes bio 250g Bio Cesta,Bio Cesta,250.0,"2,78",2023-06-30
177,Cereales y legumbres,Mueslis y cereales de desayuno,Multicereales hinchados bio 175g Bio Cesta,Bio Cesta,175.0,"3,75",2023-06-30
178,Cereales y legumbres,Mueslis y cereales de desayuno,Arroz hinchado Bio 175g Bio Cesta,Bio Cesta,175.0,"3,25",2023-06-30
179,Cereales y legumbres,Mueslis y cereales de desayuno,Mijo hinchado bio 175g Bio Cesta,Bio Cesta,175.0,"4,25",2023-06-30
180,Cereales y legumbres,Mueslis y cereales de desayuno,Cebada perlada 500g Celnat,Celnat,500.0,"2,34",2023-06-30
181,Cereales y legumbres,Mueslis y cereales de desayuno,Muesli del estudiante 500g Celnat,Celnat,500.0,"4,26",2023-06-30
182,Cereales y legumbres,Mueslis y cereales de desayuno,Muesli Krunchy de avena 750g Barnhouse,Barnhouse,750.0,"6,55",2023-06-30
183,Cereales y legumbres,Mueslis y cereales de desayuno,Muesli crunchy fruit 250g Eco Salim,Eco Salim,250.0,"4,37",2023-06-30
184,Cereales y legumbres,Mueslis y cereales de desayuno,Fibro Muesli Bio 500g El Granero Integral,El Granero Integral,500.0,"5,08",2023-06-30
185,Cereales y legumbres,Mueslis y cereales de desayuno,Copos de maíz corn flakes tostados 400g Vegetalia,Vegetalia,400.0,"3,76",2023-06-30
186,Cereales y legumbres,Mueslis y cereales de desayuno,Desayuno de avena con manzana y canela 220g Biográ,Biográ,220.0,"4,15",2023-06-30
187,Cereales y legumbres,Mueslis y cereales de desayuno,Copos de Avena Gruesos Integrales 500g Bio Cesta,Bio Cesta,500.0,"2,59",2023-06-30
188,Cereales y legumbres,Mueslis y cereales de desayuno,Muesli de frutas bio 500g Eco Salim,Eco Salim,500.0,"3,82",2023-06-30
189,Cereales y legumbres,Harinas,Gofio de avena ecológico 500g La Piña,La Piña,500.0,"4,19",2023-06-30
190,Cereales y legumbres,Harinas,Gofio de maíz ecológico 500g La Piña,La Piña,500.0,"3,39",2023-06-30
191,Cereales y legumbres,Harinas,Harina integral de trigo sarraceno 500g Bio Cesta,Bio Cesta,500.0,"4,20",2023-06-30
192,Cereales y legumbres,Harinas,Harina de Arroz Integral 500g Biográ,Biográ,500.0,"3,10",2023-06-30
193,Cereales y legumbres,Harinas,Harina de algarroba ecológica Bio 375g Bio Cesta,Bio Cesta,375.0,"2,90",2023-06-30
194,Cereales y legumbres,Harinas,Harina de fuerza 1kg La Finestra Sul Cielo,La Finestra Sul Cielo,1.0,"3,94",2023-06-30
195,Cereales y legumbres,Harinas,Harina de Almendra 200g La Finestra Sul Cielo,La Finestra Sul Cielo,200.0,"6,68",2023-06-30
196,Cereales y legumbres,Harinas,Harina de castañas 500g Celnat,Celnat,500.0,"11,07",2023-06-30
197,Cereales y legumbres,Harinas,Harina de teff integral 500g El Granero Integral,El Granero Integral,500.0,"6,05",2023-06-30
198,Cereales y legumbres,Harinas,Extracto de levadura madre 15g Vitam,Vitam,15.0,"0,80",2023-06-30
199,Cereales y legumbres,Harinas,Levadura de panadero 20g Vitam,Vitam,20.0,"0,80",2023-06-30
200,Cereales y legumbres,Harinas,Sustituto del huevo bio 250g Biográ,Biográ,250.0,"6,15",2023-06-30
201,Cereales y legumbres,Harinas,Harina de castaña 250g Pecado De Outono,Pecado De Outono,250.0,"6,83",2023-06-30
202,Cereales y legumbres,Harinas,Arruruz 150g Terrasana,Terrasana,150.0,"4,20",2023-06-30
203,Cereales y legumbres,Harinas,Mezcla magdalenas y bizcochos espelta 518g Biográ,Biográ,518.0,"7,27",2023-06-30
204,Cereales y legumbres,Harinas,Harina Mix pan sin gluten 1kg Terra Verda,Terra Verda,1.0,"3,85",2023-06-30
205,Cereales y legumbres,Harinas,Harina Mix repostería sin gluten 1kg Terra Verda,Terra Verda,1.0,"4,00",2023-06-30
206,Cereales y legumbres,Harinas,Harina de garbanzos 500g La Finestra Sul Cielo,La Finestra Sul Cielo,500.0,"3,46",2023-06-30
207,Cereales y legumbres,Harinas,Harina de cebada ecológica 500g Eco Salim,Eco Salim,500.0,"2,40",2023-06-30
208,Cereales y legumbres,Harinas,Harina de garbanzo 500g Celnat,Celnat,500.0,"4,09",2023-06-30
209,Pasta,Espirales orgánicos,Espirales integral bio 500g Bio Cesta,Bio Cesta,500.0,"1,70",2023-06-30
210,Pasta,Espirales orgánicos,Espiral espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
211,Pasta,Espirales orgánicos,Espirales de arroz y quinoa real bio 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
212,Pasta,Espirales orgánicos,Espiral tricolor 500g Bio Cesta,Bio Cesta,500.0,"2,62",2023-06-30
213,Pasta,Espirales orgánicos,Espirales de guisantes 250g Vegetalia,Vegetalia,250.0,"3,59",2023-06-30
214,Pasta,Espirales orgánicos,Espirales de garbanzos 250g Vegetalia,Vegetalia,250.0,"3,59",2023-06-30
215,Pasta,Espirales orgánicos,Espirales de lentejas 250g Vegetalia,Vegetalia,250.0,"3,59",2023-06-30
216,Pasta,Espirales orgánicos,Bio espirales de lentejas 300g Organic Sac,Organic Sac,300.0,"3,81",2023-06-30
